Name,Team,Hrs,Hits,RBI,HRpg,fHRpg,Hpg,fHpg,RBIpg,fRBIpg,HR24,HR24pg,fHR24pg
Trea Turner,Philadelphia Phillies,9,94,35,0.118,1/7,1.237,5/4,0.461,3/7,21,0.17,1/6
Nick Castellanos,Philadelphia Phillies,8,84,41,0.104,1/7,1.091,8/7,0.532,1/2,23,0.14,1/7
Alec Bohm,Philadelphia Phillies,7,85,36,0.093,1/7,1.133,8/7,0.48,1/2,15,0.1,1/7
J.T. Realmuto,Philadelphia Phillies,5,59,27,0.078,1/7,0.922,6/7,0.422,3/7,14,0.14,1/7
Bryson Stott,Philadelphia Phillies,5,63,34,0.07,0,0.887,6/7,0.479,1/2,11,0.07,0
Brandon Marsh,Philadelphia Phillies,2,38,16,0.034,0,0.655,2/3,0.276,2/7,16,0.12,1/7
Edmundo Sosa,Philadelphia Phillies,2,29,16,0.051,0,0.744,3/4,0.41,2/5,7,0.08,1/7
Isaac Paredes,Houston Astros,16,70,45,0.216,1/5,0.946,1,0.608,3/5,19,0.12,1/7,3,0.06,0,16,0.16,1/6
Jose Altuve,Houston Astros,12,78,34,0.16,1/6,1.04,1,0.453,3/7,20,0.13,1/7
Jeremy Peña,Houston Astros,11,99,40,0.141,1/7,1.269,9/7,0.513,1/2,15,0.1,1/7
Christian Walker,Houston Astros,10,62,37,0.133,1/7,0.827,5/6,0.493,1/2,26,0.2,1/5
Yainer Diaz,Houston Astros,9,62,30,0.132,1/7,0.912,6/7,0.441,3/7,16,0.11,1/7
Victor Caratini,Houston Astros,5,41,17,0.096,1/7,0.788,4/5,0.327,1/3,8,0.09,1/7
Mauricio Dubón,Houston Astros,5,37,18,0.091,1/7,0.673,2/3,0.327,1/3,4,0.03,0
Cam Smith,Houston Astros,5,58,27,0.078,1/7,0.906,6/7,0.422,3/7,0,0,0
Yordan Alvarez,Houston Astros,3,21,18,0.103,1/7,0.724,5/7,0.621,3/5,35,0.24,1/4
Jake Meyers,Houston Astros,3,77,20,0.039,0,1.013,1,0.263,1/4,13,0.09,1/7
Shohei Ohtani,Los Angeles Dodgers,26,89,49,0.338,1/3,1.156,7/6,0.636,2/3,54,0.34,1/3
Andy Pages,Los Angeles Dodgers,16,82,52,0.213,1/5,1.093,8/7,0.693,2/3,13,0.11,1/7
Teoscar Hernández,Los Angeles Dodgers,14,64,51,0.222,1/5,1.016,1,0.81,4/5,33,0.21,1/5
