Grady Sizemore,BOS
Walt Irwin,STL
Jim Tennant,NYG
Mike Aldrete,SDP
Andy Lapihuska,PHI
Thomas Burns,WIL
Roger Clemens,NYY
Ronny Cedeño,SEA
Danny Coulombe,BAL
Adam LaRoche,CHW
Tyler Saladino,MIL
Ray Sadecki,STL
George Metkovich,CLE
Bill McKechnie,NYY
Tip Tobin,NYG
Hunter Wood,TEX
Ryan Yarbrough,KCR
Tom Dozier,OAK
Claude Osteen,CIN
George Boone,LOU
Justin Turner,NYM
Pete Browning,CIN
Fred Lake,LOU
Faye Throneberry,LAA
Joe Pignatano,BRO
Ryan Jorgensen,CIN
Jeff Torborg,LAD
Bob Barton,SFG
Jim Brideweser,CHW
Al Maul,PBB
Shaw,SLG
Bones Ely,LOU
Stuffy McInnis,CLE
Glenn Myatt,PHA
Pete Vuckovich,STL
David Sanders,CHW
Terry Clark,CLE
Ed Farmer,BAL
Gary Eave,SEA
Jeff Treadway,ATL
Pat Bohen,PIT
Willie McGill,CLE
Joe Krakauskas,CLE
Bert Campaneris,CAL
Bob Cerv,KCA
John Morlan,PIT
Horace Helmbold,PHA
Vic Johnson,BOS
Ted Martínez,LAD
Paul Schreiber,NYY
Frank Watt,PHI
Jeremy Affeldt,KCR
Satchel Paige,PC
Danny Cox,PHI
Kent Mercker,CIN
Taylor Douthit,CIN
Ted Gipson,CAG
Charlie Smith,BRG
Tyler Phillips,PHI
Art Evans,CHW
Jerry Don Gleaton,TEX
Rick Wrona,CHW
Dale Murphy,ATL
Norman Plitt,BRO
Charlie Ganzel,DTN
Mike Trombley,MIN
Ronny Cedeño,PHI
Jacob Brumfield,PIT
Mark Leiter,SEA
Steve Hamilton,CHC
Larry Twitchell,COL
Don Durham,TEX
Dick Porter,BOS
George Bennette,COB
Bubbles Anderson,KCM
Orlando Cabrera,OAK
Gil Hatfield,BUF
Kid Madden,BAL
Ryan Rohlinger,SFG
Carrenza Howard,IC
Felix Chouinard,PBS
Dennis Cook,CLE
Rufus Hatten,MRS
Len Barker,MIL
Harry Taylor,BLN
Ty Wigginton,STL
Buck Gladmon,WAS
Héctor Rodríguez,NYC
Gabe Alvarez,SDP
Bill Yohe,WSH
Paul Bako,HOU
Spec Shea,NYY
Don Bennett,BBB
Jesse Crain,MIN
AJ Pollock,CHW
Lloyd Hittle,WSH
Dan Daub,BRO
Terry Crowley,ATL
Mike Fyhrie,NYM
Matt Thaiss,LAA
Pat Crawford,NYG
Phil Bickford,NYY
Max Manning,NE
George Meyer,CHW
Monty Montgomery,KCR
Bengie Molina,TOR
Wei-Yin Chen,MIA
Christin Stewart,DET
Hack Simmons,DET
Gabe White,COL
Alphonse Dunn,NYC
Jim Weaver,CIN
Dickie Noles,PHI
Zack Short,NYM
Bart Cantz,PHA
Art Ruble,DET
Alonzo Boone,BBB
Zollie Wright,PS
Cory Spangenberg,MIL
Brendan Rodgers,COL
Santiago Rosario,KCA
Todd Haney,CHC
Kip Gross,LAD
Bert Husting,BOS
John O'Brien,BRO
Sidney Ponson,NYY
Hansel Robles,MIN
John Bogart,DET
Roger Freed,STL
Pete Appleton,NYY
Bill Lillard,PHA
Bobby Murcer,CHC
Josh Towers,BAL
Tom Quinlan,PHI
Ray Miller,PIT
Dode Paskert,PHI
Allen Russell,NYY
Mark Leiter,PHI
Harold Millon,CAG
Michael Reed,SFG
Norm Siebern,NYY
Hooks Iott,NYG
Bill Tuttle,DET
Johnny Jeter,CLE
Bob McClure,AC
John Raynor,PIT
Ryan Brasier,BOS
Buddy Carlyle,NYY
Larry Christenson,PHI
Sid Fernandez,LAD
Roy Walker,CHC
Bob Veale,BOS
Derek Dietrich,TEX
Rube Kroh,BSN
Miguel Batista,NYM
Sam Crane,PIT
Eduardo Pérez,CIN
Tony Fossas,SEA
Lew Krausse,MIL
Joe Vitko,NYM
Hank Patterson,BOS
Steve Kemp,CHW
Charlie Thomas,NE
Doc Oberlander,CLE
Jack Fisher,CHW
Jimmy Johnston,CHW
Garry Roggenburk,MIN
Mike Moustakas,KCR
Mitch Keller,PIT
Deron Johnson,CIN
Ed Charles,KCA
Floyd Holston,BBB
Ed Sicking,PIT
Ed Bailey,CAL
Bob Muncrief,SLB
Fatty Briody,SLM
Chuck Dobson,CAL
Bart Evans,KCR
Mike Piazza,OAK
Lefty Bell,HG
Scott Bradley,NYY
Sal Bando,OAK
Josh Rogers,WSN
Jon Edwards,SDP
Phil Gosselin,ARI
Jim Campbell,KCR
Joey Loperfido,TOR
Dave Stieb,TOR
Davy Dunkle,WSH
Bob Locker,CHW
Bubba Floyd,DET
Andrés Galarraga,ANA
Joe Bernard,STL
Butch Davis,KCR
John Burke,COL
Harry Jeffries,NWB
Will Wagner,TOR
Bert Delmas,BRO
Luis Vizcaíno,OAK
Tayron Guerrero,MIA
Fred Smith,BSN
Lou Legett,BSN
Jim Field,WHS
Joe Connell,NYG
Bill Clowers,BOS
Doc Ayers,WSH
Frank Bolling,MLN
