DATE,TIME,AWAY_ABBREV,AWAY,HOME_ABBREV,HOME
2025-11-20,10:00 PM,LAK,Los Angeles Kings,SJS,San Jose Sharks
2025-11-20,7:30 PM,EDM,Edmonton Oilers,TBL,Tampa Bay Lightning
2025-11-20,7:00 PM,CBJ,Columbus Blue Jackets,TOR,Toronto Maple Leafs
2025-11-20,9:00 PM,VGK,Vegas Golden Knights,UTA,Utah Mammoth
2025-11-20,10:00 PM,DAL,Dallas Stars,VAN,Vancouver Canucks
2025-11-21,7:00 PM,CHI,Chicago Blackhawks,BUF,Buffalo Sabres
2025-11-21,10:30 PM,BOS,Boston Bruins,LAK,Los Angeles Kings
2025-11-21,7:00 PM,MIN,Minnesota Wild,PIT,Pittsburgh Penguins
2025-11-21,8:00 PM,CAR,Carolina Hurricanes,WPG,Winnipeg Jets
2025-11-22,10:00 PM,VGK,Vegas Golden Knights,ANA,Anaheim Ducks
2025-11-22,10:00 PM,DAL,Dallas Stars,CGY,Calgary Flames
2025-11-22,1:00 PM,CBJ,Columbus Blue Jackets,DET,Detroit Red Wings
2025-11-22,7:00 PM,EDM,Edmonton Oilers,FLA,Florida Panthers
